filename,width,height,class,xmin,ymin,xmax,ymax
egfr_F_R_oly_2X_1.jpg,1024,1360,0,597,342,627,372
egfr_F_R_oly_2X_1.jpg,1024,1360,1,629,415,659,445
egfr_F_R_oly_2X_1.jpg,1024,1360,2,557,386,587,416
egfr_F_R_oly_2X_1.jpg,1024,1360,3,495,365,525,395
egfr_F_R_oly_2X_1.jpg,1024,1360,4,498,436,528,466
egfr_F_R_oly_2X_1.jpg,1024,1360,5,469,384,499,414
egfr_F_R_oly_2X_1.jpg,1024,1360,6,723,483,753,513
egfr_F_R_oly_2X_1.jpg,1024,1360,7,515,425,545,455
egfr_F_R_oly_2X_1.jpg,1024,1360,8,962,389,992,419
egfr_F_R_oly_2X_1.jpg,1024,1360,9,758,628,788,658
egfr_F_R_oly_2X_1.jpg,1024,1360,10,487,325,517,355
egfr_F_R_oly_2X_1.jpg,1024,1360,11,622,431,652,461
egfr_F_R_oly_2X_1.jpg,1024,1360,12,695,529,725,559
egfr_F_R_oly_2X_100.jpg,1024,1360,0,589,343,619,373
egfr_F_R_oly_2X_100.jpg,1024,1360,1,599,423,629,453
egfr_F_R_oly_2X_100.jpg,1024,1360,2,532,363,562,393
egfr_F_R_oly_2X_100.jpg,1024,1360,3,488,330,518,360
egfr_F_R_oly_2X_100.jpg,1024,1360,4,469,400,499,430
egfr_F_R_oly_2X_100.jpg,1024,1360,5,452,338,482,368
egfr_F_R_oly_2X_100.jpg,1024,1360,6,964,640,994,670
egfr_F_R_oly_2X_100.jpg,1024,1360,7,920,685,950,715
egfr_F_R_oly_2X_100.jpg,1024,1360,8,668,519,698,549
egfr_F_R_oly_2X_100.jpg,1024,1360,9,489,393,519,423
egfr_F_R_oly_2X_100.jpg,1024,1360,10,918,506,948,536
egfr_F_R_oly_2X_100.jpg,1024,1360,11,661,667,691,697
egfr_F_R_oly_2X_100.jpg,1024,1360,12,499,295,529,325
egfr_F_R_oly_2X_100.jpg,1024,1360,13,584,434,614,464
egfr_F_R_oly_2X_100.jpg,1024,1360,14,627,556,657,586
egfr_F_R_oly_2X_101.jpg,1024,1360,0,513,316,543,346
egfr_F_R_oly_2X_101.jpg,1024,1360,1,546,390,576,420
egfr_F_R_oly_2X_101.jpg,1024,1360,2,465,352,495,382
egfr_F_R_oly_2X_101.jpg,1024,1360,3,417,327,447,357
egfr_F_R_oly_2X_101.jpg,1024,1360,4,407,399,437,429
egfr_F_R_oly_2X_101.jpg,1024,1360,5,382,346,412,376
egfr_F_R_oly_2X_101.jpg,1024,1360,6,965,532,995,562
